NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;GRUE   ;OEVP   ;NEOS   ;HC     ;LINKS  ;BIER   ;SOEZ   ;VOLT   ;WIFF   ;PRO    ;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;0;0;19;5;3;1;2;3;3;1;1;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;1;672;231;4;63;13;40;76;24;6;4;0;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;2;652;242;0;79;15;33;64;27;13;3;8;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;3;627;204;1;69;13;35;60;18;4;3;0;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;4;324;94;7;15;8;15;37;9;3;0;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;5;729;225;1;59;11;31;73;26;11;6;5;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;1;1;1;6;528;122;2;32;5;18;38;14;5;4;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;7;537;167;2;51;12;26;49;22;2;1;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;8;573;189;4;60;11;29;54;18;6;5;1;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;9;244;5;74;17;42;62;35;2;2;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;10;701;249;8;81;10;56;48;28;8;4;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;11;477;148;1;46;2;25;41;22;7;0;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;12;599;235;0;74;12;17;84;33;8;2;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;13;511;141;3;42;7;20;46;21;2;0;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;14;525;193;6;54;13;30;51;25;6;3;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;15;743;268;3;68;12;51;88;31;9;4;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;16;487;149;2;49;7;17;49;17;6;1;0;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;17;728;232;5;67;10;43;55;32;8;6;4;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;18;538;169;5;55;12;24;51;15;1;3;3;0;0;0;0;4;                                                                                                                                                                                         
AT1;AT13;AT130;90101;4;1;1;1;19;0;4192;41;1191;155;616;1549;487;58;49;40;4;2;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;0;0;16;4;2;0;2;5;2;1;0;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;1;870;329;4;104;16;70;70;41;6;12;6;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;2;795;287;1;92;16;61;63;27;7;15;2;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;3;853;277;1;100;12;44;68;28;8;11;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;4;896;298;6;108;13;66;63;29;2;7;3;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;5;791;232;5;84;6;54;31;33;8;9;1;1;0;0;0;                                                                                                                                                                                         
